type,group1,group2,,
aff,21,61,,
riv,109,61,,
all,5,3,,
all,75,1,,
riv,13,1,,
all,13,1,,
riv,1,9,,
mer,23,19,,
all,361,143,,
mer,1,15,,
all,5,1,,
riv,75,143,,
mer,1,15,,
riv,109,99,,
riv,109,113,,
all,1,13,,
riv,17,81,,
spl,13,11,,
spl,9,29,,
spl,585,583,,
mer,31,593,,
riv,1,29,,
aff,21,19,,
all,1,23,,
aff,17,21,,
spl,585,577,,
spl,585,573,,
spl,585,573,,
riv,3,1,,
all,13,21,,
aff,1,21,,
riv,39,77,,
riv,39,47,,
all,39,47,,
riv,39,71,,
riv,39,53,,
spl,39,55,,
spl,39,73,,
spl,39,79,,
spl,39,81,,
spl,39,89,,
spl,39,91,,
spl,39,85,,
spl,39,99,,
spl,39,87,,
spl,39,83,,
spl,39,51,,
aff,39,81,,
spl,81,59,,
all,83,79,,
all,83,77,,
riv,55,71,,
riv,55,77,,
all,55,79,,
mer,79,87,,
all,141,109,,
all,85,77,,
riv,77,87,,
aff,89,87,,
all,87,55,,
riv,89,77,,
riv,89,71,,
all,89,77,,
all,89,71,,
all,99,85,,
all,99,89,,
all,99,71,,
all,99,91,,
riv,39,59,,
aff,91,77,,
all,77,47,,
all,77,83,,
all,77,91,,
all,77,71,,
mer,77,95,,
spl,53,69,,
aff,107,61,,
spl,61,67,,
riv,63,47,,
riv,63,53,,
riv,57,77,,
riv,57,71,,
riv,57,53,,
riv,47,57,,
all,47,57,,
aff,47,75,,
aff,39,47,,
spl,49,69,,
mer,43,47,,
aff,77,55,,
aff,55,71,,
all,81,47,,
all,55,71,,
all,55,77,,
spl,39,97,,
all,39,97,,
aff,39,75,,
all,77,75,,
riv,39,51,,
all,89,71,,
all,89,77,,
aff,39,99,,
aff,75,91,,
spl,25,31,,
mer,573,27,,
riv,587,25,,
mer,13,1,,
all,81,57,,
riv,587,25,,
spl,67,69,,
mer,69,65,,
riv,587,25,,
riv,57,1,,
aff,99,21," long-term connections are established between AQ and Somali leaders such as Adan Hashi Ayro.""",
aff,145,117,,
aff,117,79,,
all,117,21,,
aff,117,95,,
mer,117,111,,
all,111,95,,
all,117,95,,
all,95,79,,
all,21,79,,
riv,79,95,,
all,21,105,,
riv,79,105,,
all,79,217,,
all,79,219,,
riv,105,219,,
all,217,105,,
aff,117,215,,
all,79,223,,
aff,79,217,,
all,221,79,,
aff,111,223,,
aff,111,219,,
spl,317,315,,
all,105,215,,
spl,217,219,,
all,247,77,,
spl,77,233,,
spl,77,234,,
spl,77,235,,
spl,233,241,,
aff,230,231,,
mer,230,231,,
mer,231,77,,
mer,227,228,,
mer,229,257,,
spl,229,228,,
all,227,228,,
all,228,229,,
mer,227,257,,
mer,232,137,,
aff,259,239,,
riv,259,239,,
mer,236,137,,
spl,153,77,,
all,275,259,,
aff,145,145,,
aff,145,145,,
aff,145,145,,
spl,137,295,,
spl,137,269,,
all,273,137,,
spl,287,273,,
spl,273,226,,
spl,273,291,,
spl,287,232,,
spl,153,279,,
all,283,77,,
mer,247,77,,
spl,77,137,,
all,237,257,,
all,137,269,,
all,269,295,,
riv,105,95,,
riv,317,315,,
spl,315,313,,
riv,323,313,,
spl,349,323,,
spl,323,319,,
spl,323,325,,
spl,325,327,,
spl,323,319,,
spl,317,315,,
riv,317,315,,
spl,349,317,,
riv,317,323,,
mer,333,331,,
all,331,337,,
spl,331,335,,
mer,341,345,,
spl,345,343,,
aff,345,347,,
riv,313,315,,
mer,313,315,,
riv,331,335,,
riv,335,345,,
spl,431,73,,
aff,141,141,,
riv,1,5,,
all,13,75,,
all,5,75,,
all,29,75,,
all,75,1,,
riv,143,1,,
aff,251,21,,
aff,21,363,,
all,21,363,,
aff,152,21,,
all,21,363,,
aff,21,363,,
aff,217,363,,
spl,367,21,,
aff,367,363,,
aff,363,367,,
aff,303,265,,
aff,105,363,,
aff,367,363,,
aff,21,152,,
aff,152,251," 100+ injured) and that he shared his bomb-making skills with ASG members in the past.""",
aff,21,251,,
aff,21,251,,
all,21,152,,
aff,385,393,,
aff,385,357,,
aff,385,389,,
mer,393,389,,
riv,357,351,,
mer,391,357,,
spl,149,307,,
riv,149,307,,
spl,379,309,,
spl,65,611,,
all,611,21,,
riv,13,57,,
spl,149,599,,
aff,265,21,,
aff,367,363,,
riv,587,395,,
